Asset,Threat Level,Vulnerabilities,Alerts
Asset96,10,1,15
Asset47,3,15,93
Asset59,1,16,18
Asset15,3,17,92
Asset77,2,19,81
Asset15,2,16,24
Asset86,9,11,5
Asset24,6,5,97
Asset20,2,2,73
Asset15,10,10,93
Asset96,1,18,5
Asset24,3,2,35
Asset35,7,9,65
Asset35,1,1,1
Asset99,8,13,42
Asset35,5,14,30
Asset72,1,7,69
Asset2,7,9,66
Asset88,7,11,28
Asset77,1,11,86
Asset53,4,12,5
Asset7,10,18,45
Asset28,9,20,1
Asset9,3,14,41
Asset97,9,9,29
Asset69,6,5,81
Asset94,9,12,52
Asset33,8,17,39
Asset18,2,14,14
Asset47,1,16,87
Asset25,10,14,36
Asset100,5,19,88
Asset50,7,20,70
Asset37,8,12,48
Asset27,9,5,50
Asset63,9,11,41
Asset88,8,7,63
Asset71,3,14,77
Asset55,8,0,61
Asset27,5,14,62
Asset42,1,18,83
Asset79,2,5,97
Asset66,1,16,25
Asset53,6,3,8
Asset26,3,6,60
Asset8,1,0,91
Asset30,7,9,25
Asset39,10,8,76
Asset21,2,19,21
Asset47,10,16,47
Asset75,1,7,65
Asset28,6,2,60
Asset71,8,11,40
Asset86,6,7,17
Asset20,8,6,9
Asset35,8,12,96
Asset71,3,14,14
Asset59,2,0,96
Asset19,8,17,84
Asset26,7,18,41
Asset59,8,17,17
Asset87,6,16,73
Asset82,3,13,17
Asset88,7,1,42
Asset77,8,11,22
Asset8,2,12,73
Asset82,4,2,40
Asset2,7,16,62
Asset86,1,17,89
Asset81,1,6,25
Asset73,3,10,4
Asset57,6,5,0
Asset65,1,0,86
Asset59,7,18,34
Asset38,2,16,41
Asset81,4,17,91
Asset9,6,20,54
Asset96,5,12,12
Asset90,1,12,55
Asset39,7,1,93
Asset47,8,5,80
Asset29,5,12,99
Asset16,7,8,40
Asset90,9,1,6
Asset26,10,3,69
Asset18,4,15,92
Asset56,10,8,46
Asset75,10,19,6
Asset13,3,14,9
Asset87,8,16,99
Asset21,5,4,91
Asset67,1,9,48
Asset71,5,7,65
Asset46,2,4,72
Asset53,2,1,89
Asset3,1,1,35
Asset55,7,2,97
Asset83,3,4,65
Asset82,8,17,12
Asset92,3,2,35
Asset67,5,8,76
Asset52,2,19,82
Asset86,9,12,28
Asset42,3,2,6
Asset43,4,9,95
Asset18,2,6,70
Asset2,10,5,27
Asset1,6,12,56
Asset25,4,9,93
Asset97,8,6,99
Asset6,7,11,34
Asset40,4,4,81
Asset47,1,11,71
Asset45,6,5,55
Asset28,8,19,66
Asset80,2,11,32
Asset83,7,15,31
Asset51,8,4,16
Asset58,1,0,22
Asset19,10,17,29
Asset13,5,3,33
Asset84,2,9,24
Asset41,9,14,95
Asset81,3,8,53
Asset38,6,7,72
Asset37,7,11,27
Asset1,7,17,71
Asset57,5,10,40
Asset33,9,10,97
Asset40,1,8,39
Asset34,4,7,53
Asset51,3,5,46
Asset96,9,10,19
Asset81,5,15,20
Asset8,8,18,65
Asset55,6,15,71
Asset58,1,1,47
Asset37,10,14,67
Asset77,3,18,36
Asset61,3,8,65
Asset45,9,0,39
Asset4,9,1,93
Asset40,5,5,45
Asset95,7,2,30
Asset75,7,16,91
Asset83,9,16,45
Asset8,1,17,97
Asset99,6,3,94
Asset26,6,9,59
Asset19,2,8,53
Asset99,7,15,77
Asset80,1,20,53
Asset5,4,8,51
Asset88,8,11,82
Asset95,7,8,99
Asset34,3,13,71
Asset8,9,12,20
Asset25,8,10,7
Asset38,9,3,0
Asset48,2,14,49
Asset78,6,0,88
Asset40,10,7,72
Asset45,3,5,93
Asset47,10,0,6
Asset63,9,8,83
Asset86,2,15,27
Asset61,6,15,96
Asset31,3,7,89
Asset95,1,8,45
Asset46,10,11,13
Asset98,2,16,44
Asset91,4,18,41
Asset21,10,14,81
Asset10,9,19,85
Asset17,1,17,94
Asset79,4,14,30
Asset10,2,2,76
Asset84,7,1,21
Asset15,8,8,61
Asset100,2,6,57
Asset18,5,8,24
Asset62,6,13,3
Asset44,8,20,29
Asset68,6,19,61
Asset27,2,19,98
Asset55,4,8,76
Asset92,6,0,9
Asset26,2,17,18
Asset70,6,7,52
Asset2,10,9,36
Asset88,2,11,58
Asset19,8,7,70
Asset57,8,6,29
Asset94,2,6,98
Asset86,8,3,5
Asset17,5,10,14
Asset16,1,16,96
Asset52,2,13,39
Asset7,7,8,90
Asset8,4,18,60
